                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1739,                0.67958,                  1.237,                 0.8838,                0.97973,                0.96858,                0.60259,                 1.4993,                0.60829,                  1.394,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.2022,                0.70196,                 1.2223,                0.91694,                0.97206,                0.97804,                0.60271,                 1.5095,                0.62239,                 1.3704,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.1503,                0.67615,                 1.2164,                0.94103,                0.95412,                0.98294,                0.62363,                  1.467,                0.58165,                 1.3752,             0.00047876,             0.00047876,             0.00047876
                     38,                  1.162,                0.66888,                 1.2384,                0.94475,                0.91329,                 0.9779,                0.61485,                 1.5197,                0.67395,                 1.3875,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.1594,                0.67808,                 1.2318,                0.88849,                0.96622,                 0.9756,                0.59679,                 1.5191,                0.61927,                  1.392,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.1216,                0.64055,                 1.1972,                0.93529,                0.94632,                0.98058,                0.62597,                 1.4744,                0.59928,                  1.371,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.1044,                0.59045,                 1.2248,                0.93324,                0.93919,                0.98076,                0.62781,                 1.5312,                0.60672,                 1.3949,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0659,                0.55678,                 1.1904,                 0.9295,                0.94091,                0.98887,                0.62692,                 1.4894,                0.58263,                 1.3691,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0498,                0.55163,                  1.176,                0.92229,                0.93344,                0.98742,                0.64064,                 1.4619,                0.58955,                 1.3654,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.0567,                0.55054,                 1.1801,                0.91749,                0.96254,                0.97988,                0.64572,                 1.5113,                0.62162,                  1.392,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.0473,                0.54288,                 1.1837,                0.89594,                0.94932,                0.98043,                0.64191,                 1.4917,                0.60947,                 1.3867,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.0118,                0.52136,                 1.1539,                0.89771,                0.95337,                0.98172,                0.64806,                 1.4688,                0.60028,                 1.3622,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.0239,                0.51314,                  1.147,                0.94273,                0.93919,                0.98384,                 0.6443,                 1.4758,                0.59263,                 1.3822,              0.0001487,              0.0001487,              0.0001487
                     48,                0.99461,                0.51063,                 1.1597,                0.91368,                0.94954,                0.98376,                 0.6441,                 1.4949,                0.60902,                 1.3898,             0.00011569,             0.00011569,             0.00011569
                     49,                0.97322,                0.50971,                 1.1471,                0.91415,                0.95012,                0.98304,                0.64836,                 1.4869,                0.61611,                  1.378,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.99596,                0.50029,                 1.1492,                0.91561,                0.94595,                0.98313,                0.64505,                 1.4785,                 0.6006,                 1.3729,             4.9677e-05,             4.9677e-05,             4.9677e-05
